tanggal,periode,teks_bersih,sentimen,likes,retweet,username
2024-09-20 11:17:55,sebelum,buang buang uang koalisi damai titipan partai kabinet gemuk bersatu putusan postur kabinet amanah,positif,12,3,arif_ind2815
2024-09-20 11:18:47,sebelum,resmi hormat tegas optimis apresiasi sukses patut ditiru dukung menteri jatah partai,positif,15,2,arif4539
2024-09-20 11:27:05,sebelum,muak solo estafet kepemimpinan asal bapak senang mahal purna tugas akhir jabatan,negatif,26,7,eko753
2024-09-20 11:37:06,sebelum,janji manis protes defisit nepotisme biaya negara elit gagah mahal bohong rakyat susah kecewa utang negara,negatif,9,3,fitri_id7822
2024-09-20 13:17:55,sebelum,demokrasi rakyat susah tolak pamit khawatir pencitraan buang buang uang kritik putusan mahal,negatif,86,31,bagasku
2024-09-20 13:32:29,sebelum,makan bergizi gratis cawe cawe seratus hari mahal kritik layanan kesehatan pesimis doa,negatif,19,6,tono248107
2024-09-20 13:58:01,sebelum,masa jabatan demokrasi etika politik dokumentasi agenda siaran langsung cawe cawe oligarki hadir data tercatat,netral,3,2,zahra19905176
2024-09-20 14:19:48,sebelum,khawatir mahal janji manis sindir protes asal bapak senang jokowi nepotisme gagal oligarki etika politik omong kosong batas usia,negatif,22,8,indraxyz
2024-09-20 14:22:14,sebelum,megah kerja nyata pelantikanpresiden pidato perdana wibawa sejarah baru legowo haru,positif,90,13,tonoxyz3621
2024-09-20 14:27:16,sebelum,dijadwalkan rangkaian putusan menurut etika politik,netral,12,4,maya_real
2024-09-20 14:33:46,sebelum,bangga janji kampanye program unggulan salut percaya,positif,1,1,arif4539
2024-09-20 15:25:03,sebelum,dokumentasi konferensi pers akhir jabatan transisi sejarah baru jokowi hadir mahkamah konstitusi tercatat purna tugas dijadwalkan,netral,2,1,putri242664
2024-09-20 15:44:16,sebelum,data sejarah baru kesiapan siaran langsung biaya negara daya beli menurut disiarkan periode,netral,9,3,putri
2024-09-20 15:51:45,sebelum,basi ragu mpr rekayasa lalu lintas mahal program unggulan,negatif,2,3,indranesia9800
2024-09-20 15:59:49,sebelum,kritik protes oligarki mahkamah konstitusi dinasti politik nepotisme sindir boros susah tolak,negatif,28,4,indra_jkt
2024-09-20 16:34:00,sebelum,bohong khawatir protes janji manis putusan kecewa demokrasi asal bapak senang,negatif,57,22,zahraxyz1244
2024-09-20 16:48:30,sebelum,pencitraan dinasti politik etika politik demokrasi pesimis kecewa,negatif,95,31,putri_ind9205
2024-09-20 17:06:06,sebelum,pesimis susah rakyat susah nepotisme korupsi undangan asing muak dinasti politik,negatif,75,19,warta24jam
2024-09-20 17:19:57,sebelum,panitia korupsi janji manis kesiapan bohong boros ragu damai sindir pesimis tolak geladi,negatif,18,6,sintanesia
2024-09-20 17:30:59,sebelum,buang buang uang khawatir etika politik boros oligarki kritik,negatif,5,1,intan_real4931
2024-09-20 17:34:40,sebelum,pajak salut harap defisit doa,positif,22,4,fitri1990
2024-09-20 17:38:56,sebelum,jokowi berlangsung purna tugas dilantik keterangan siaran langsung swasembada pangan tercatat solo,netral,3,1,jokoxyz5816
2024-09-20 17:45:24,sebelum,kursi kekuasaan bagi bagi kursi kabinet merah putih gagah doa semangat,positif,9,2,zahrawati578
2024-09-20 17:48:54,sebelum,tegas rakyat sejahtera mantap kemunduran demokrasi dinasti politik mahkamah konstitusi damai salut etika politik gagah,positif,46,6,arif_ind218
2024-09-20 17:56:27,sebelum,dokumentasi tercatat transisi susunan acara periode disiarkan swasembada pangan purna tugas sepuluh tahun resmi,netral,0,0,galih_id4912
2024-09-20 18:08:30,sebelum,korupsi mahkamah konstitusi janji manis rakyat susah demokrasi,negatif,113,20,bayuwati1894
2024-09-20 18:39:56,sebelum,solo data periode pamit transisi agenda,netral,14,4,detikindo
2024-09-20 18:44:29,sebelum,putusan demokrasi mahkamah konstitusi muak janji manis etika politik omong kosong pencitraan,negatif,2,2,ayu_ind2488
2024-09-20 19:09:47,sebelum,efisiensi anggaran pencitraan protes kecewa pemborosan tidak becus basi janji manis khidmat subsidi,negatif,9,3,tari2024
2024-09-20 19:14:24,sebelum,kemunduran demokrasi damai rakyat sejahtera batas usia hormat tegas indonesia emas,positif,10,3,galih3084
2024-09-20 19:15:44,sebelum,bangga sukses sejarah baru senayan masa jabatan jadwal acara geladi undangan,positif,214,36,dimasku7086
2024-09-20 19:18:49,sebelum,etika politik omong kosong kritik tolak batas usia khawatir sindir tidak becus kursi kekuasaan kecewa dinasti politik boros,negatif,31,11,nisa_jkt
2024-09-20 19:27:19,sebelum,putusan nepotisme asal bapak senang rakyat susah kritik sindir,negatif,1,2,umar7893
2024-09-20 19:31:39,sebelum,layanan kesehatan makan bergizi gratis kritik ragu tolak,negatif,26,9,nisa_real6579
2024-09-20 19:38:51,sebelum,demokrasi berlangsung menyampaikan etika politik rangkaian,netral,3,1,yuda20241324
2024-09-20 19:47:52,sebelum,program unggulan makan bergizi gratis sukses seratus hari swasembada pangan bangga putusan selamat doa,positif,33,8,fitri_jkt
2024-09-20 19:51:29,sebelum,nepotisme buang buang uang demokrasi dinasti politik gagal pesimis elit oligarki korupsi boros kritik,negatif,7,2,andixyz3390
2024-09-20 20:11:27,sebelum,selamat prosesi pelantikan kerja nyata salut tegas sejarah baru apresiasi dukung legowo,positif,3,2,budi884513
2024-09-20 20:13:45,sebelum,percaya rute harap bersatu patut ditiru jadwal acara periode rakyat sejahtera geladi wibawa protokol,positif,55,12,raka24
2024-09-20 20:39:53,sebelum,boros elit sepuluh tahun kabinet gemuk omong kosong pendahulu solo basi,negatif,465,65,vina241588
2024-09-20 20:47:40,sebelum,damai apresiasi daya beli oligarki amanah lancar dinasti politik indonesia emas,positif,0,0,umar_rl
2024-09-20 20:57:38,sebelum,resmi siaran langsung koalisi berlangsung konferensi pers kursi kekuasaan,netral,110,18,laras_ind
2024-09-20 21:01:33,sebelum,seratus hari selamat salut janji kampanye sukses megah hilirisasi utang negara indonesia emas percaya,positif,27,4,arif1576
2024-09-20 22:29:41,sebelum,gagal omong kosong cawe cawe buang buang uang tolak sindir korupsi tidak becus pencitraan demokrasi,negatif,11,4,sintawati4043
2024-09-20 22:38:32,sebelum,gagal buang buang uang jatah partai menteri tidak becus asal bapak senang susah kritik kecewa omong kosong susunan menteri reshuffle,negatif,3,3,vina886745
2024-09-20 22:49:20,sebelum,doa patut ditiru dukung investasi rakyat sejahtera selamat pajak daya beli perwakilan damai,positif,9,1,citra_rl
2024-09-20 23:06:58,sebelum,janji kampanye janji manis susunan acara siaran langsung program unggulan nepotisme layanan kesehatan hadir laporan disiarkan makan bergizi gratis,netral,8,4,gilangputra788
2024-09-20 23:27:02,sebelum,bangga kursi kekuasaan percaya wibawa haru sejarah baru hormat optimis reshuffle legowo,positif,7,3,vina248958
2024-09-20 23:28:49,sebelum,asal bapak senang kemunduran demokrasi elit janji manis buang buang uang oligarki batas usia kecewa dinasti politik pemborosan,negatif,523,126,redaksiupdate
2024-09-20 23:39:30,sebelum,sindir janji manis muak pendidikan gratis buang buang uang layanan kesehatan ragu,negatif,28,5,eko_rl
2024-09-21 04:31:29,sebelum,buang buang uang sindir kecewa berat gagal omong kosong rakyat susah daya beli tidak becus pencitraan anggaran,negatif,8,4,rakanesia
2024-09-21 05:26:37,sebelum,pendahulu estafet kepemimpinan sepuluh tahun sukses tegas jokowi megah kerja nyata rakyat sejahtera,positif,4,2,andinesia
2024-09-21 06:18:13,sebelum,menyampaikan tercatat istana merdeka susunan acara rangkaian dilantik diplomatik keterangan sumpah jabatan detik detik menurut salam komando,netral,13,6,dewi9205
2024-09-21 06:28:41,sebelum,asal bapak senang sindir mahal kecewa pencitraan demokrasi dinasti politik putusan,negatif,20,4,citra_id3778
2024-09-21 07:01:08,sebelum,mahkamah konstitusi konferensi pers berlangsung kemunduran demokrasi dokumentasi nepotisme keterangan tercatat resmi,netral,9,2,indra245287
2024-09-21 07:02:12,sebelum,pidato perdana iring iringan harap kerja nyata pelantikan patut ditiru selamat,positif,8,3,nanda88
2024-09-21 07:16:27,sebelum,akhir jabatan berani dijadwalkan tegas amanah doa solo haru sepuluh tahun megah damai purna tugas bilateral,positif,28,9,mediaupdate
2024-09-21 07:18:29,sebelum,buang buang uang pesimis anggaran bohong sindir beban fiskal oligarki pencitraan,negatif,10,3,sinta7363
2024-09-21 07:56:25,sebelum,bohong kritik defisit protes anggaran omong kosong harga pangan kecewa,negatif,528,173,jokonesia1431
2024-09-21 08:16:31,sebelum,haru berani amanah mahkamah konstitusi bangga dinasti politik utusan khusus etika politik apresiasi megah sejarah baru,positif,16,5,hestiputra
2024-09-21 08:31:05,sebelum,megah legowo penyematan serah terima istana merdeka selamat iring iringan,positif,11,5,vina_rl
2024-09-21 08:52:25,sebelum,megah berani putusan indonesia emas oligarki kabinet gemuk,positif,6,2,ayu_ind3364
2024-09-21 08:58:41,sebelum,menurut laporan resmi berlangsung pemborosan subsidi susunan acara,netral,23,6,redaksiterkini
2024-09-21 09:22:58,sebelum,gladi bersih tegas pasukan pengamanan amanah rekayasa lalu lintas hormat haru,positif,29,5,nandaxyz
2024-09-21 09:41:04,sebelum,omong kosong dinasti politik cawe cawe elit batas usia pakaian adat kecewa nepotisme tidak becus,negatif,6,2,kirana_jkt
2024-09-21 09:53:34,sebelum,elit basi etika politik pesimis korupsi susah janji manis batas usia gagal tolak,negatif,11,4,bayu_id4947
2024-09-21 10:01:43,sebelum,data menyampaikan disiarkan kesiapan pengamanan rangkaian tercatat jadwal acara pasukan pengamanan dokumentasi,netral,48,10,sari772158
2024-09-21 10:30:55,sebelum,bilateral hadir rangkaian dilantik masa jabatan utusan khusus laporan menyampaikan tamu negara,netral,25,7,andi_rl
2024-09-21 10:36:51,sebelum,oligarki asal bapak senang boros protes pencitraan reshuffle korupsi demokrasi bohong etika politik,negatif,102,29,yudanesia8837
2024-09-21 10:40:17,sebelum,subsidi muak korupsi tidak becus sindir gagal janji manis kecewa buang buang uang pajak rupiah,negatif,152,23,andixyz
2024-09-21 10:47:46,sebelum,etika politik tidak becus dinasti politik batas usia boros mpr kecewa elit mahkamah konstitusi khawatir,negatif,16,2,hesti889642
2024-09-21 11:05:33,sebelum,hadir berlangsung dokumentasi dilantik tercatat susunan acara menyampaikan hilirisasi layanan kesehatan swasembada pangan seratus hari masa jabatan,netral,2,2,ekowati6784
2024-09-21 11:54:07,sebelum,buang buang uang elit putusan kecewa berat batas usia nepotisme,negatif,100,21,posnusantara
2024-09-21 12:21:52,sebelum,kritik mahal basi defisit harga pangan ragu daya beli sindir buang buang uang,negatif,11,3,indra
2024-09-21 13:07:11,sebelum,sepuluh tahun pencitraan korupsi bohong jokowi tolak,negatif,25,6,wahyu24
2024-09-21 13:21:41,sebelum,cawe cawe buang buang uang hadir nepotisme dinasti politik ragu kemunduran demokrasi rakyat susah,negatif,7,2,sinta2024
2024-09-21 13:30:53,sebelum,senayan rute omong kosong rakyat susah tidak becus,negatif,301,95,putrixyz2752
2024-09-21 14:01:44,sebelum,demokrasi nepotisme muak buang buang uang keterangan susah kemunduran demokrasi omong kosong,negatif,22,8,fitri_id7822
2024-09-21 14:08:39,sebelum,data seratus hari susunan acara dijadwalkan agenda protokol kenegaraan makan bergizi gratis janji kampanye tercatat keterangan resmi siaran langsung layanan kesehatan,netral,36,11,kabarterkini
2024-09-21 15:40:39,sebelum,periode dinasti politik keterangan putusan nepotisme dilantik,netral,24,6,indra_real
2024-09-21 15:46:50,sebelum,kecewa pidato perdana mpr kirab buang buang uang boros amanah khawatir janji manis gagal tolak,negatif,30,9,indra_real
2024-09-21 16:02:53,sebelum,mahkamah konstitusi etika politik muak kritik legowo putusan boros khawatir,negatif,221,52,sari_real256
2024-09-21 16:10:34,sebelum,cawe cawe solid percaya apresiasi kemunduran demokrasi bangga harap jokowi dukung rakyat sejahtera,positif,11,2,bayu_jkt3312
2024-09-21 16:14:56,sebelum,elit basi kemunduran demokrasi muak putusan sepuluh tahun pencitraan,negatif,2,3,okiku4158
2024-09-21 16:16:18,sebelum,damai semangat rakyat sejahtera pendahulu patut ditiru dukung solo haru sepuluh tahun,positif,7,3,eko19906415
2024-09-21 16:28:24,sebelum,legowo jatah partai reshuffle doa kerja nyata dukung koalisi selamat menteri,positif,0,2,vina_rl1222
2024-09-21 17:10:53,sebelum,mahkamah konstitusi boros basi susah nepotisme pesimis mahal gagal oligarki rakyat susah,negatif,138,41,zahra_ind
2024-09-21 17:12:19,sebelum,asal bapak senang pesimis rakyat susah mahkamah konstitusi nepotisme janji manis khawatir korupsi oligarki susunan acara cawe cawe,negatif,16,6,dimas
2024-09-21 18:04:55,sebelum,lancar susunan acara apresiasi persiapan geladi rekayasa lalu lintas wibawa,positif,39,10,vina19909478
2024-09-21 18:12:35,sebelum,protokol kenegaraan indonesia emas delegasi wibawa diplomatik bersatu patut ditiru,positif,33,11,sari_rl1837
2024-09-21 19:12:17,sebelum,sindir nepotisme titipan partai mahal wakil menteri asal bapak senang kecewa berat susunan menteri tolak menteri kritik,negatif,17,7,fitri_id
2024-09-21 19:19:02,sebelum,kritik janji kampanye elit asal bapak senang gagal swasembada pangan sindir buang buang uang omong kosong,negatif,28,11,rizkynesia
2024-09-21 19:22:03,sebelum,elit pencitraan muak batas usia susah etika politik dinasti politik janji manis mahkamah konstitusi,negatif,10,3,intan_id6968
2024-09-21 19:24:19,sebelum,hormat kedaulatan energi hilirisasi bersatu legowo sejarah baru sukses megah dukung patut ditiru,positif,14,5,sintawati3173
2024-09-21 19:26:54,sebelum,haru perwakilan patut ditiru undangan asing delegasi bersatu megah utusan khusus data,positif,73,15,yudanesia8837
2024-09-21 19:46:09,sebelum,harap kursi kekuasaan semangat koalisi lancar kabinet merah putih indonesia emas susunan menteri selamat dukung amanah,positif,8,4,raka_id7474
2024-09-21 19:52:25,sebelum,keterangan akhir jabatan pamit periode menurut masa jabatan konferensi pers dilantik berlangsung,netral,1,0,oki887841
2024-09-21 20:02:30,sebelum,gagal kritik kabinet gemuk reshuffle elit rangkaian,negatif,42,14,umar88
2024-09-21 20:04:18,sebelum,janji manis prosesi kecewa bohong kirab buang buang uang rakyat susah,negatif,146,53,vina_jkt
2024-09-21 20:08:44,sebelum,mahal asal bapak senang nepotisme buang buang uang putusan mahkamah konstitusi pesimis elit,negatif,88,20,mediaupdate
2024-09-21 20:08:47,sebelum,demokrasi mahal basi putusan boros nepotisme kemunduran demokrasi,negatif,17,6,putri88
2024-09-21 20:08:52,sebelum,batas usia program unggulan protes amanah lancar swasembada pangan patut ditiru seratus hari dukung legowo,positif,5,2,jokonesia9618
2024-09-21 20:15:16,sebelum,purna tugas pencitraan asal bapak senang basi bohong buang buang uang pamit protes sindir,negatif,16,2,wahyuwati
2024-09-21 20:20:01,sebelum,etika politik asal bapak senang pesimis kemunduran demokrasi mahal,negatif,39,15,dimas_ind4364
2024-09-21 20:25:13,sebelum,utusan khusus putusan tegas apresiasi salut optimis nepotisme patut ditiru,positif,2,1,jokoxyz5816
2024-09-21 20:36:04,sebelum,masa jabatan dilantik serah terima konferensi pers harga pangan laporan rangkaian dokumentasi salam komando,netral,18,7,jurnalupdate
2024-09-21 20:56:02,sebelum,susah muak janji manis dinasti politik tidak becus etika politik bohong estafet kepemimpinan basi khawatir,negatif,153,57,wartaupdate
2024-09-21 20:56:22,sebelum,salut sejarah baru dukung utusan khusus damai rupiah basi legowo defisit,positif,1,2,vina19909478
2024-09-21 21:03:25,sebelum,anggaran beban fiskal susunan acara konferensi pers pemborosan laporan pajak,netral,6,3,zahra88
2024-09-21 21:07:22,sebelum,hormat dukung cawe cawe indonesia emas legowo oligarki kerja nyata batas usia bilateral,positif,4,1,hesti_rl6789
2024-09-21 21:22:37,sebelum,rakyat sejahtera jokowi menurut agenda estafet kepemimpinan transisi hadir menyampaikan berlangsung laporan diplomatik,netral,347,46,redaksinow
2024-09-21 21:46:11,sebelum,tolak gagal etika politik berlangsung korupsi pesimis kemunduran demokrasi bohong protes,negatif,4,2,indra_rl9726
2024-09-21 22:21:12,sebelum,konferensi pers periode purna tugas hadir dijadwalkan menurut rangkaian keterangan sepuluh tahun,netral,11,2,suaraid
2024-09-21 22:37:11,sebelum,bangga apresiasi rakyat sejahtera sukses megah sumpah jabatan legowo salam komando,positif,2,2,arif
2024-09-21 22:45:28,sebelum,rupiah wibawa daya beli megah pajak kerja nyata solid pemborosan,positif,12643,2775,yuda
2024-09-21 23:11:08,sebelum,investasi elit diplomatik tolak beban fiskal janji manis asal bapak senang berani pesimis,negatif,5,1,bagas2024
2024-09-21 23:30:30,sebelum,dukung oligarki batas usia optimis amanah,positif,23,7,nanda19907086
2024-09-22 05:20:36,sebelum,korupsi omong kosong kecewa berat ragu janji manis basi detik detik batas usia elit nepotisme,negatif,122,17,fitri_ind4289
2024-09-22 05:41:37,sebelum,muak protes kecewa berat susah buang buang uang khawatir delegasi perwakilan protokol kenegaraan,negatif,68,12,yuda_ind329
2024-09-22 06:04:25,sebelum,apresiasi wibawa pengamanan undangan megah damai persiapan panitia optimis bersatu,positif,22,6,andiwati
2024-09-22 06:13:50,sebelum,boros omong kosong protes putusan etika politik elit mahkamah konstitusi basi cawe cawe,negatif,91,25,maya7308
2024-09-22 06:46:02,sebelum,susunan menteri dokumentasi menurut titipan partai data reshuffle periode konferensi pers laporan hadir keterangan,netral,52,12,lensa24jam
2024-09-22 07:06:32,sebelum,program unggulan purna tugas janji manis korupsi jokowi rakyat susah protes selamat,negatif,10,2,eko_real4411
2024-09-22 07:32:08,sebelum,apresiasi optimis program unggulan doa indonesia emas bersatu bagi bagi kursi laporan rakyat sejahtera seratus hari,positif,2,2,dimas_jkt788
2024-09-22 07:41:56,sebelum,menyampaikan susunan acara harga pangan data masa jabatan anggaran,netral,25,3,berita24jam
2024-09-22 08:08:38,sebelum,kedaulatan energi tegas makan bergizi gratis hormat megah seratus hari sukses,positif,224,28,kabarterkini
2024-09-22 08:18:01,sebelum,siaran langsung rangkaian menteri kursi kekuasaan kabinet gemuk agenda titipan partai dijadwalkan hadir disiarkan,netral,11,3,fitri_ind4289
2024-09-22 08:40:16,sebelum,pencitraan demokrasi ragu mahal sindir pakaian adat janji manis cawe cawe mahkamah konstitusi etika politik,negatif,14,5,arif_real2834
2024-09-22 08:43:38,sebelum,sindir menteri khawatir muak keterangan kursi kekuasaan susunan menteri jatah partai kecewa batas usia kritik,negatif,9,1,umarxyz
2024-09-22 08:55:08,sebelum,siaran langsung susunan acara bagi bagi kursi dilantik menteri kabinet merah putih menurut ragu jatah partai,netral,80,10,kabar24jam
2024-09-22 09:07:36,sebelum,janji manis etika politik demokrasi tolak kecewa berat pencitraan kecewa,negatif,7,3,galih_jkt6447
2024-09-22 09:14:34,sebelum,asal bapak senang omong kosong pencitraan dinasti politik mahkamah konstitusi ragu janji manis buang buang uang putusan,negatif,5,3,hesti4994
2024-09-22 09:15:23,sebelum,koalisi agenda kabinet merah putih masa jabatan kemunduran demokrasi disiarkan dijadwalkan menteri keterangan rangkaian resmi jatah partai,netral,1,1,indraxyz8624
2024-09-22 09:23:22,sebelum,periode rute panitia masa jabatan undangan keterangan dijadwalkan disiarkan konferensi pers berlangsung,netral,150,46,mediaupdate
2024-09-22 09:52:20,sebelum,lancar oligarki rakyat sejahtera basi apresiasi megah demokrasi salut,positif,8,4,bayu_ind
2024-09-22 10:01:44,sebelum,panitia optimis indonesia emas pengamanan bersatu,positif,1,2,fitri889335
2024-09-22 10:16:56,sebelum,selamat kerja nyata persiapan pasukan pengamanan bersatu undangan kesiapan,positif,38,10,dewi7539
2024-09-22 10:57:28,sebelum,oligarki disiarkan menurut kemunduran demokrasi agenda masa jabatan hadir resmi batas usia data nepotisme,netral,541,120,detikid
2024-09-22 11:25:10,sebelum,lancar mahal mahkamah konstitusi elit boros kemunduran demokrasi,negatif,47,11,indraku
2024-09-22 11:29:30,sebelum,pajak defisit gagal muak kritik janji manis efisiensi anggaran kepala negara ragu kecewa berat elit legowo beban fiskal tolak,negatif,43,14,eko19909031
2024-09-22 12:16:00,sebelum,pesimis bohong etika politik tidak becus rakyat susah rupiah mahal cawe cawe ragu,negatif,99,20,yuda20248579
2024-09-22 12:28:32,sebelum,siaran langsung titipan partai dilantik berlangsung reshuffle dijadwalkan apresiasi kabinet merah putih,netral,22,7,larasku
2024-09-22 12:38:39,sebelum,rangkaian dokumentasi siaran langsung data susunan acara layanan kesehatan masa jabatan tercatat janji kampanye hilirisasi realisasi program,netral,166,45,suaranusantara
2024-09-22 12:52:34,sebelum,janji manis demokrasi mahkamah konstitusi protes putusan kemunduran demokrasi kritik,negatif,38,8,ayu2558
2024-09-22 13:31:02,sebelum,oligarki mahkamah konstitusi nepotisme bohong tolak geladi tegas pesimis,negatif,18,8,galihku9932
2024-09-22 13:37:14,sebelum,agenda dokumentasi swasembada pangan hadir menyampaikan estafet kepemimpinan hilirisasi,netral,35,8,kabarterkini
2024-09-22 13:43:39,sebelum,seratus hari megah layanan kesehatan solid swasembada pangan selamat legowo,positif,37,11,tono2024
2024-09-22 14:47:13,sebelum,kritik etika politik susah pesimis ragu kecewa berat kecewa oligarki,negatif,53,9,lensaindo
2024-09-22 14:50:24,sebelum,resmi keterangan rangkaian dilantik putusan dinasti politik etika politik dijadwalkan,netral,19,5,vinawati9876
2024-09-22 15:01:53,sebelum,tolak buang buang uang oligarki kemunduran demokrasi etika politik batas usia jokowi omong kosong boros,negatif,60,14,arif_id
2024-09-22 15:19:45,sebelum,mahal kritik boros asal bapak senang kecewa berat pendidikan gratis elit basi tercatat bohong hilirisasi,negatif,34,11,detikid
2024-09-22 15:42:05,sebelum,selamat menteri mantap swasembada pangan sejarah baru optimis pendidikan gratis seratus hari bersatu,positif,3,2,wahyuxyz2546
2024-09-22 16:09:12,sebelum,laporan hadir menyampaikan kedaulatan energi agenda realisasi program konferensi pers mahkamah konstitusi keterangan salut,netral,12,1,maya5228
2024-09-22 16:09:58,sebelum,mantap prabowogibran legowo hormat khidmat wibawa haru optimis gagah sumpah jabatan,positif,2,1,arif6072
2024-09-22 16:13:47,sebelum,keterangan masa jabatan layanan kesehatan periode kedaulatan energi konferensi pers makan bergizi gratis rangkaian resmi omong kosong seratus hari,netral,10,5,suaranusantara
2024-09-22 16:15:23,sebelum,kerja nyata salut batas usia solid mahkamah konstitusi cawe cawe,positif,30,5,galih244706
2024-09-22 16:43:30,sebelum,oligarki bohong omong kosong putusan asal bapak senang etika politik pesimis kemunduran demokrasi,negatif,44,8,dewi7539
2024-09-22 16:58:26,sebelum,estafet kepemimpinan dilantik rangkaian utang negara pamit solo pendahulu laporan,netral,23,5,sinta
2024-09-22 17:06:45,sebelum,mahkamah konstitusi apresiasi koalisi dinasti politik harap rakyat sejahtera haru nepotisme patut ditiru lancar selamat dukung putusan,positif,48,13,intan_id
2024-09-22 17:39:06,sebelum,salam komando doa berani harap damai pelantikan lancar pelantikanpresiden sukses sejarah baru,positif,3,1,bagas_jkt
2024-09-22 17:52:44,sebelum,percaya kerja nyata dijadwalkan apresiasi purna tugas lancar warisan megah hilirisasi mantap estafet kepemimpinan haru,positif,67,21,dewi7539
2024-09-22 17:56:27,sebelum,ragu menteri titipan partai kecewa dokumentasi koalisi pesimis,negatif,48,13,vina_jkt873
2024-09-22 18:04:17,sebelum,tolak menteri kursi kekuasaan kabinet gemuk korupsi susah janji manis kabinet merah putih,negatif,24,9,kirana
2024-09-22 18:05:16,sebelum,hilirisasi haru apresiasi rakyat sejahtera jadwal acara mahal damai sukses sejarah baru kedaulatan energi legowo,positif,154,41,wahyuputra
2024-09-22 18:06:33,sebelum,serah terima damai prabowogibran sumpah jabatan tegas tamu negara sejarah baru wibawa mantap solid,positif,2,2,laras77
2024-09-22 18:08:35,sebelum,ragu omong kosong tolak kecewa pajak korupsi rakyat susah defisit rupiah,negatif,6,2,hestiwati
